a_lyric;a_music;lyric;title
" Miguel Cafre y Fausto 
Frontera Letra: R. Olivieri";"Miguel Cafre y Fausto 
Frontera Letra: R. Olivieri";Tabernero, que idiotizas con tus brebajes de fuego, sigue llenando mi copa con tu maldito veneno, hasta verme como loco revolcándome en el suelo. Sigue llenando mi copa, buen amigo tabernero. Cuando me veas borracho, canturreando un tango obsceno entre blasfemias y risas, armar camorra a los ebrios, no me arrojes a la calle, buen amigo tabernero, ten en cuenta que me embriago con tu maldito veneno. Yo quiero matar el alma que idiotiza mi cerebro, muchos se embriagan con vino y otros se embriagan con besos. Como ya no tengo amores, y los que tuve murieron, placer encuentro en el vino que me brinda el tabernero. Todos los que son borrachos no es por el gusto de serlo, sólo Dios conoce el alma que palpita en cada ebrio. ¿No ves mi copa vacía? Echa vino, tabernero, que tengo el alma contenta, con tu maldito veneno. Sigue llenando mi copa, que yo no tengo remedio. ;Tabernero
José Horacio Staffolani;Pedro Maffia;Vengan a ver... El bailongo se formó en su ley a la luz de un gran farol medioeval. Todo el barrio se volcó en aquel caserón, bajo el parral, a bailar, y al quejarse el bandoneón se escuchó tristes las notas de un tango que nos hablaba de amor, de mujer, de traición, de milongas manchadas de sangre, de sus malevos y el Picaflor. Se fue el arrabal con toda su ley. Su historia es, tal vez, la cruz del puñal. Se fue el arrabal que hablaba de amor y aquel taconear también se perdió. ¿Quién no sintió la emoción del taconear y el ardor que provoca el bandoneón al llorar? Tango brujo de arrabal, triste son que se agita en el misal de un querer y en la lírica pasión del matón. Notas que muerden las carnes con su motivo sensual al volcar la pasión que llevamos, tal vez, muy adentro, en lo más hondo del corazón. ;Taconeando
Homero Manzi;Lucio Demare;Suena el piano, la luz está sobrando, se hace noche de pronto y sin querer las sombras se arrinconan evocando a Griseta, a Malena, a María Ester. Las sombras que esta noche trajo el tango me obligan a evocarla a mí también. Bailemos que me duele estar soñando con el brillo de su traje de satén. ¿Quién pena en el violín? ¿Qué voz sentimental cansada de sufrir se ha puesto a sollozar así? Tal vez será el rumor de aquella que una vez de pronto se durmió. ¡Tal vez será su voz, tal vez! Su voz no puede ser, su voz ya se apagó, ¡tendrá que ser nomás mi propio corazón! Era triste, era pálida y lejana, negro el pelo, los ojos verde gris. Y eran también sus labios al sol de la mañana una triste flor de carmín. Un día no llegó, quedé esperando. Y luego me contaron su final. Por eso con las sombras de los tangos ¡vanamente la recuerdo más y más! ;Tal vez será su voz
Alfredo Bigeschi;Juan Maglio;"Es hijo malevo, tristón y canyengue, nació en la miseria del viejo arrabal, su primer amigo fue un taita de lengue, su novia primera vestía percal. Recibió el bautismo en una cortada y fue su padrino un taita ladrón. Se ganó el cariño de la muchachada, que en una quebrada le dio el corazón. Tango argentino. ¡Sos el himno del suburbio y en jaranas o disturbios, siempre supiste tallar! ¡Y en los patios, con kerosén alumbrados, los taitas te han proclamado el alma del arrabal! De tus buenos tiempos aún hoy palpitan, ""El Choclo"", ""Pelele"", ""Tatita"", ""El Caburé"", ""La Morocha"", ""El Catre"" y ""La Cumparsita"", aquel ""Entrerriano"" y el ""Sábado Inglés"". Inútil que quieran cambiarte de rango y en la aristocracia te mezclen con jazz, en tu inconfundible rareza de tango, se pinta la historia del viejo arrabal. ¡Tango argentino! El de cortes compadrones, rezongos de bandoneones y sollozos de violín ¡Tango argentino! Admirado en todas partes y como bueno triunfaste en Europa como aquí. ";Tango argentino
Alejandro Dolina;Alejandro Dolina;Qué se haga ya la oscuridad! Deténgase la sucesión En una ausencia tan brutal que es uno mismo el que no está. Y no quiero sentir ningún dolor es lo que duele más. Llegó el olvido, vencedor y ya el saqueo comenzó En la memoria sin guardián libros de viento robará. Y de tu verso más cantor nadie se acordará. Yo juego con la carta más segura no importan los vaivenes de la suerte aquí donde me ve, yo soy la Muerte. El precio de la última aventura. Yo soy mucho más fuerte que la vida. Yo soy la última rima del poema. Mi voz en todo acorde suena. Y con cualquier camino yo hago esquina. No hay que pensar ni preguntar: yo soy mi propia explicación. Soy el sentido y el motor de la poesía y el amor. La nada espera, vamos ya. Su tiempo terminó. ;Tango de la muerte
Emilio Fresedo;Osvaldo Fresedo;"Cuando sepa que estás lejos, cuando tu canción llegue hasta tus oídos, una angustia habrás tenido y sentirás vos que está muy lejos de tu sol, y si piensas en tu casa, si recuerdas tus andanzas por esas calles de Dios, pensarás en tu Corrientes, tus amigos, tus parientes, llorarás con tu canción. Tango, tango mío que llegás al corazón; Tango, es pedazo de mi tierra tu canción. Tango, lejos cuando se oye tu cantar, a tu lado está otra vez, el amigo que dejás y estar lejos es un sueño. Tango, tango mío cuantas vidas ves pasar. Tango, alegrías y tristezas al vibrar. Tango, fuiste reo por tu cuna, sí, por tu lengua, tu caló, pero te sabés vestir. ¡Todo el mundo te entendió! Estar lejos, sin amigos, estar sin amor... hará extrañar tu suelo, sos el hombre que primero, sin probar favor, despintará su ilusión. Cuántos, cuántos corazones estrellaron ambiciones en los puertos sin timón. Y al pensar en tu Corrientes tus amigos, tus parientes, ¡sufrirá tu corazón! ";Tango mío
Ivo Pelay;Francisco Canaro;"Me pidieron los muchachos una danza original, me pidieron los muchachos una danza novedosa, Se han cansado, con el mundo, de los bailes siempre iguales. Nuevos tiempos, nuevos ritmos; gente nueva, nuevas cosas. Me pidieron los muchachos una danza original, de figuras caprichosas y cadencia nacional. Y un danzón amilongado con un tango fue anudado, para dar a los muchachos una danza original. Así nació el tangón. Tangón porteño, con pretensiones de ser señor y dueño. Es roncador, cimbreador, rezongón y en su cadencia hay un aliento de sensualidad. De festín, de dolor. De placer y de amor. Con figuras caprichosas he buscado componer un bailable que llegara a imponerse en los salones Y el tangón nació a la vida como nacen las personas sobre todo en este siglo de locuras y ambiciones. Con figuras caprichosas he buscado componer un bailable que pudieran los muchachos aprender. Y enlazando melodías con cadencias y armonías, un bailable caprichoso he buscado componer. ";Tangón
Homero Manzi;Hugo Gutiérrez;"Al fin, un rancho más que se deja, total, porque no ha vuelto la prenda, allí, donde .se muere una senda, allí, donde los pastos se quejan y el viento se aleja silbando un dolor. Total, otra cocina sin brasas y un gaucho que pasa sin rumbo ni amor... Roldanita de mi pozo que cantaba su alborozo, ya no habrás de cantar nunca más. Sombra fresca del alero donde estaban los jilgueros, los jilgueros que hoy no están. Brillazón de mis trigales que mancharon los cardales cuando un día comencé a penar, cuando entraron los abrojos a morder en mis rastrojos y me eché a rodar. Se fue, dirá la gente del pago; se fue, tal vez detrás de otro sueño... Al fin, otro ranchito sin dueño; al fin, otra tapera tirada sin tropa ni aguada, sin gente ni Dios. Total, otro fogón desdichado, que un alma ha dejado sin fuego ni amor. ";Tapera
"Dante Gilardoni / Raúl Capablanca
(milonga)";Mariano Mores;Para bailar esta milonga, hay que tener primeramente una buena compañera que sienta en el alma el ritmo de fuego así... Hay que juntar las cabezas mirando hacia el suelo pendientes de su compás, dejar libres los zapatos que vayan y vengan en repiqueteo sin fin, y que mueva la mujer las caderas al ritmo caliente que da el tambor, olvidarse de la vida y del amor para bailar... Porque en este baile insinuante hay que tener, desde el corazón palpitante hasta los pies, el repiquetear del taquito se hace obsesión, hasta que se funde en el ritmo del corazón... Al compás de esta milonga vuelvo a ver igual que ayer un baile de meta y ponga y un vivir para querer... Un pasito atrás por aquí, otro avance más por allá, la sentada limpia y después viene el taconeo final... El candombe está en lo mejor y la moza vibra al compás, y siempre que esta milonga vuelvo a bailar, me gusta más... Para bailar, se necesita más que nada amar la vida, porque es vida todo aquello que se agita en los compases de un candombe de mi flor y de mi amor ;Taquito militar
 José Canet Letra: José Canet;José Canet Letra: José Canet;De cada amor que tuve tengo heridas, heridas que no cierran y sangran todavía. ¡Error de haber querido ciegamente matando inútilmente la dicha de mis días! Tarde me di cuenta que al final se vive igual fingiendo... Tarde comprobé que mi ilusión se destrozó queriendo... ¡Pobre amor que está sufriendo la amargura más tenaz! Y ahora que no es hora para nada tu boca enamorada me incita una vez más. Y aunque quiera quererte ya no puedo, porque dentro del alma tengo miedo. Tengo miedo que se vuelva a repetir la comedia que me ha hundido en el vivir. ¡Todo te lo di!... ¡Ttodo lo perdí!... Siempre puse el alma entera, de cualquier manera, soportando afrentas y al final de cuentas me quedé sin fe. De cada amor que tuve tengo heridas, heridas que no cierran y sangran todavía. Error de haber querido ciegamente, perdido en un torrente de burlas y mentiras. Voy en mi rodar sin esperar y sin buscar amores... Ya murió el amor porque el dolor le destrozó sus flores... Y aunque hoy llores y me implores mi ilusión no ha de volver. ¡No ves que ya la pobre está cansada, deshecha y maltratada por tanto padecer! ;Tarde 
Luis Rubistein;Juan Bautista Guido;Pese al dolor vengo a verte. Lo supe ayer que te hallabas tan mal. Yo que juré odiarte hasta la muerte no pude más y vine al hospital. Por todo el mal que me has hecho quise cobrar este amargo rencor, pero después sentí dentro del pecho mi corazón latir con santo amor. ¿Por qué llorás? ¿Acaso mi presencia en este instante a vos también te apena? ¿O al recordar tu vida sin esencia te arrepentiste y hoy querés ser buena? La tarde gris, tan gris como mi pena, acompañó mi quebranto por tu herida, porque tus besos trajeron a mi vida la dicha de soñar y el ansia de vivir. No vine aquí a reprocharte... Todo pasó... y prefiero olvidar... Lo quiere Dios que vuelva a perdonarte y que otra vez volvamos a empezar. Cuando se curen tus males mi corazón volverá a despertar. Retornarán los mansos manantiales y como ayer tendremos un hogar. ;Tarde gris
Jorge Curi;Pedro Maffia;"Recibí tu última carta, en la cual tú me decías: ""Te aconsejo que me olvides, todo ha muerto entre los dos. Sólo pido mi retrato y todas las cartas mías, ya lo sabes que no es justo que aún eso conserves vos"". Hoy reconoces la falta, tenés miedo que yo diga... que le cuente al que tu sabes nuestra íntima amistad; ¡Soy muy hombre, no te vendo, no soy capaz de una intriga! Lo comprendo que, si hablara, quiebro tu felicidad. Pero no vas a negar que cuando vos fuiste mía, dijiste que me querías, que no me ibas a olvidar; y que ciega de cariño me besabas en la boca, como si estuvieras loca... Sedienta, nena, de amar. Yo no tengo inconveniente en enviarte todo eso, sin embargo, aunque no quieras, algo tuyo ha de quedar. El vacío que dejaste y el calor de aquellos besos bien lo sabes que no puedo devolvértelos jamás. Yo lo hago en bien tuyo evitando un compromiso, sacrifico mi cariño por tu apellido y tu honor; me conformo con mi suerte, ya que así el destino quiso pero acuérdate bien mío, ¡que esto lo hago por tu amor! ";Te aconsejo que me olvides
Juan Bautista Abad Reyes;Gerardo Matos Rodríguez;"¿Te fuiste? Ja... Ja... ¡Que te vaya bien! ¡Piantá de la vía que te cacha el tren! Mi bulín está mucho más lindo, más aireao, ventilao y compadre, con las pilchas por el suelo, todo bien desarreglao. Ya no tengo nadie que la bronque, ni pichicho que me muerda o ladre; te agradezco, mina otaria, de que me hayas amurao. ¿Te tuiste? Ja... Ja... ¡Qué te vaya bien! ¡Piantá de la vía que te cacha el tren! La catrera, con ser tan grandota, yo te aseguro que no te ha extrañao, pues tu ausencia sólo se nota, en que duermo despatarrao. Y de tarde cuando el piberío del triste convento empieza a gritar, me despierto feliz y me río, y al ver que te has ido me pongo a cantar. ¿Te fuiste? Ja... Ja... ¡Qué te vaya bien! ¡Piantá de la vía que te cacha el tren! Sin embargo allá en el fondo de mi alma, la loca pavura me trabaja 'e prepotencia y no te lo oculto más. Tengo miedo que una de estas noches cometás la terrible locura de sentirte Magdalena y al cotorro te volvás. ¡No, por favor, que estoy muy a gusto solito! ¿Te tuiste? Ja... Ja... ¡Qué te vaya bien! ¡Piantá de la vía que te cacha el tren! ";Te fuiste, ja ja
Homero Expósito;Aníbal Troilo;Nació en un barrio con malvón y luna por donde el hambre suele hacer gambetas y desde pibe fue poniendo el hombro y anchó a trabajo su sonrisa buena. La sal del tiempo le oxidó la cara cuando una mina lo dejó en chancleta y entonces solo, para siempre solo, largó el laburo y se metió en la huella. Malevo, te olvidaste en los boliches los anhelos de tu vieja. Malevo, se agrandaron tus hazañas con las copas de ginebra. Por ella, tan sólo por ella, dejaste una huella de amargo rencor. Malevo, ¡qué triste! jugaste y perdiste tan sólo por ella que nunca volvió. Tambor de tacos redoblando calles para que se entren las muchachas buenas y allí el silencio que mastica el pucho dejando siempre la mirada a cuenta. Dicen que dicen que una noche zurda con el cuchillo deshojó la espera y entonces solo, como flor de orilla, largó el cansancio y se mató por ella. ;Te llaman Malevo
Edmundo Rivero;Edmundo Rivero;Vos sos el campeón de la cuajada, la leche pasteurizada y del agua mineral. Y cuando ya estás bien embalado te metes a un continuado y la farra rematás. Mirando dibujos animados, sos feliz morfando helados y pastillas de ananá. Y en colectivo o en tren, yendo o viniendo, te la pasás leyendo revistas de Tarzán. Sangre de pato, avivate, frate mío, te vas a morir de frío si no aprendés a escabiar. Despertate, andá un poco a la carreras, y a la farra milonguera a bailarte un buen gotán. Sacudite la tierrita de la solapa, buscate una mina papa, y venite pal trocén. Bien empilchado y con un faso entre los labios, haceme caso otario, te lo digo por tu bien. Vos nunca sentistes el gustazo de ir a ver unos tortazos en el ring del Luna Park. Y si en Boca o en River no has estado y nunca fuiste al paddoc a ver un Nacional. Decime si sos un poco piola para que tenes la sabiola si no es para saber que la ruleta no queda en la Salada y que el doce no es clavada jugando al pase inglés. Si hasta la mina se te va a morir de hastío. Avivate, frate mío, te lo digo por tu bien. ;Te lo Digo por tu Bien
Francisco Canaro;Francisco Canaro;"Te quiero, como no te quiso nadie, como nadie te querrá. Te adoro, como se adora en la vida, la mujer que se ha de amar. Te quiero, como se quiere a la vida cuando la vida es beldad; como se quiere a un hermano; como se quiere a una madre, con ese amor sin igual, como se quiere en la vida una vez, y nada más. Hoy te quiero más que ayer, pero menos que mañana; y no hay fuerza sobrehumana que detenga mi querer. Son muy lindas las caricias, si nacen del corazón; y son lindos los amores que conservan la ilusión. Y si un querer lo provoca, es sublime, hasta el dolor, y las penas, no son penas, cuando son penas de amor. Hoy te quiero más que ayer pero menos que mañana; mi pasión es soberana, y reclama tu querer. ";Te quiero
Charrúa (Gualberto Márquez) (vals) ;Alberto Acuña;Linda estaba la tarde en que la vide, el patio de su rancho acomodando y aunque guapo pa'todo me sentía, no pude hablarle y me quedé temblando. Estaba como nunca la había visto, vestido livianito de zaraza, con el pelo volcao sobre los hombros era una virgen que encontré en la casa. Ni ella ni yo, ninguno dijo nada, con sus ojazos me siguió quemando, dejó la escoba que tenía en la mano, me quiso hablar y se quedó temblando. Era el recuerdo del amor primero, amor nacido en una edad temprana, como esas flores rústicas del campo que nacen de la noche a la mañana. Amor que está oculto en los adobes de su rancho paterno tan sencillo y en la corteza del ombú del patio escrito con la punta del cuchillo. Me di vuelta pisando despacito, como quien desconfía de una trampa, envolviendo recuerdos y emociones entre las listas de mi poncho pampa. No sé que me pasó, monté a caballo y me fui galopiando a ríenda suelta, con todos los recuerdos y emociones que en las listas del poncho saqué envueltas. Linda estaba la tarde en que la vide, el patio de su rancho acomodando. La tarde en que guapo me sentía no pude hablarle y me quedé temblando. ;Temblando
Agustín Irusta;Alberto Acuña;"Hace ya algún tiempo te vengo observando un raro misterio en tu modo de ser. Si algo me retraso te encuentro con trompa, si vengo pasado ni me querés ver. Si me siento alegre y cacho la viola me parás el carro, yo no se porqué. Te inventás diez nombres de minas cualquiera; si falta que digas que tengo un harén. Tenemos que abrirnos, no hay otro remedio, es un caso serio tu modo de amar. Tenemos que abrirnos, amistosamente, no es vida decente broncar y broncar. Tenemos que abrirnos, hemos terminado las que has aguantado te las pagaré con buenos recuerdos, diré que sos buena, que es grande mi pena, pero que le vachaché. A veces, dormida, soñés en voz alta, me decías de todo, mordés el colchón. Yo te doy soguita, hasta que cabrero te despierto suave con el cinturón. Si te pido ropa te haces la mañera haciéndote ideas muy malas, quizá. ¡Upa! ¡Que carácter! ya no hay quien te aguante, si tenés más vueltas que línea 'e tranway. ";Tenemos que abrirnos 
Celedonio Flores;José María Aguilar;"En la timba de la vida me planté con siete y medio, siendo la única parada de la vida que acerté. Yo ya estaba en la pendiente de la ruina, sin remedio, pero un día dije planto y ese día me planté. Yo dejé la barra rea de la eterna caravana, me aparté de la milonga y su rante berretín; con lo triste de mis noches hice una hermosa mañana: cementerio de mi vida convertido en un jardín. Garsonier, carreras, timbas, copetines de vicioso y cariños pasajeros... Besos falsos de mujer... Todo enterré en el olvido del pasado bullicioso por el cariño más santo que un hombre pueda tener. Hoy, ya vés, estoy tranquilo... Por eso es que, buenamente, te suplico que no vengas a turbar mi dulce paz; que me dejes con mi madre, que a su lado, santamente, edificaré otra vida, ya que me siento capaz. Te suplico que me dejes, tengo miedo de encontrarte, porque hay algo en mi existencia que no te puede olvidar... Tengo miedo de tus ojos, tengo miedo de besarte, tengo miedo de quererte y de volver a empezar. Sé buenita... No me busques... Apartate de mi senda... Tal vez en otro cariño encontrés tu redención... Vos sabés que yo no quiero que mi chamuyo te ofenda... ¡Es que tengo mucho miedo que me falle el corazón! ";Tengo miedo
Héctor Negro;Raúl Garello;Tiempo de tranvías tropezando el empedrado. Patios que se abren a la luna y al parral. Mágicos zaguanes con temblor de besos largos. Penas de ginebra que tanguean en el bar. Vuelven esos ecos de las mesas de escolaso. Noches con la barra en la esquina fraternal. Sábado y milonga que promete el club del barrio y el domingo, lleno de ese fútbol sin igual. Tiempo de tranvías, que allá se desbarrancaron. De los carnavales que fueron de otra ciudad. Te vieron mis ojos pibes encendidos y asombrados. Te canta mi tango nuevo, con ganas de recordar. Tiempo lindo de tranvías, que fueron de otra ciudad... Fueye de Pichuco cuando el gordo era muchacho. El violín de Gobbi y la orquesta de Caló. Barras milongueras de Pugliese en cada barrio. Tangos del cuarenta que canté con otra voz. Era mi Corrientes colmenar de tango vivo. Era cada ochava la promesa de un cantor. Tiempo de tranvías, de las calles con silbidos. Sé que ya el olvido no podrá jamás con vos. Tiempo lindo de tranvías, que fueron de otra ciudad... ;Tiempo de tranvías 
Cátulo Castillo;Sebastián Piana;Paredón, tinta roja en el gris del ayer... Tu emoción de ladrillo feliz sobre mi callejón con un borrón pintó la esquina... Y al botón que en el ancho de la noche puso el filo de la ronda como un broche... Y aquel buzón carmín, y aquel fondín donde lloraba el tano su rubio amor lejano que mojaba con bon vin. ¿Dónde estará mi arrabal? ¿Quién se robó mi niñez? ¿En qué rincón, luna mía, volcás como entonces tu clara alegría? Veredas que yo pisé, malevos que ya no son, bajo tu cielo de raso trasnocha un pedazo de mi corazón. Paredón tinta roja en el gris del ayer... Borbotón de mi sangre infeliz que vertí en el malvón de aquel balcón que la escondía... Yo no sé si fue negro de mis penas o fue rojo de tus venas mi sangría... Por qué llegó y se fue tras del carmín y el gris, fondín lejano donde lloraba un tano sus nostalgias de bon vin. ;Tinta roja
José María Contursi;Aníbal Troilo;"Hoy, después de tanto tiempo de no verte, de no hablarte, ya cansado de buscarte siempre, siempre, siento que me voy muriendo por tu olvido, lentamente, y en el frío de mi frente tus besos no dejarás. Sé que mucho me has querido tanto, tanto como yo; pero, en cambio, yo he sufrido mucho, mucho más que vos. No sé porque te perdí, tampoco sé cuándo fue, pero a tu lado dejé toda mi vida, y hoy que estás lejos de mí y has conseguido olvidar, soy un pasaje de tu vida, nada más. ¡Es tan poco lo que falta para irme con la muerte! Ya mis ojos no han de verte nunca, nunca. Y si un día, por mi culpa, una lágrima vertiste, porque tanto me quisiste sé que me perdonarás. ";Toda mi vida
Manuel Romero;Carlos Gardel;"Tomo y obligo, mándese un trago, que hoy necesito el recuerdo matar; sin un amigo lejos del pago quiero en su pecho mi pena volcar. Beba conmigo, y si se empaña de vez en cuando mi voz al cantar, no es que la llore porque me engaña, yo sé que un hombre no debe llorar. Si los pastos conversaran, esta pampa le diría de qué modo la quería, con qué fiebre la adoré. Cuántas veces de rodillas, tembloroso, yo me he hincado bajo el árbol deshojado donde un día la besé. Y hoy al verla envilecida y a otros brazos entregada, fue para mí una puñalada y de celos me cegué, y le juro, todavía no consigo convencerme como pude contenerme y ahí nomás no la maté. Tomo y obligo, mándese un trago; de las mujeres mejor no hay que hablar, todas, amigo, dan muy mal pago y hoy mi experiencia lo puede afirmar. Siga un consejo, no se enamore y si una vuelta le toca hocicar, fuerza, canejo, sufra y no llore que un hombre macho no debe llorar. ";Tomo y obligo
" Juan D'Arienzo / Fulvio 
Salamanca Letra: Carlos Bahr";"Juan D'Arienzo / Fulvio 
Salamanca Letra: Carlos Bahr";¡Tomá estas monedas! No pago con ellas las horas de amor. Por más que ahora entiendo que estás siempre en venta, mi orgullo no paga lo que no compró. ¡Tomá estas monedas! Es poco dinero si te he de tasar. Mas yo sólo quiero comprarme con ellas el gusto tremendo de no verte más. ¡Y fuera de aquí! Que puedo, olvidando que te quise tanto, ahogar con mis manos tu vida tan ruin. ¡Muy lejos de mi! Allá entre la chusma que rueda en la feria vendiéndote al precio más bajo y más vil. Por vos, por tu culpa, dudando de todo, reniego lo bueno que siempre creí. ¡Andate, por fin! Que hay una palabra que ensucia mi boca, que voy a gritarte si seguís aquí. ¡Tomá estas monedas! Tomá el oro sucio que es tu tentación. El oro que agita la sangre en tus venas y apura el latido de tu corazón. ¡Tomá estas monedas! Es poco dinero si te he de tasar, mas yo sólo quiero comprarme con ellas el gusto tremendo de no verte más. ;Tomá estas monedas
Enrique Santos Discépolo;Enrique Santos Discépolo;¡Aullando entre relámpagos, perdido en la tormenta de mi noche interminable, ¡Dios! busco tu nombre... No quiero que tu rayo me enceguezca entre el horror, porque preciso luz para seguir... ¿Lo que aprendí de tu mano no sirve para vivir? Yo siento que mi fe se tambalea, que la gente mala, vive ¡Dios! mejor que yo... Si la vida es el infierno y el honrao vive entre lágrimas, ¿cuál es el bien... del que lucha en nombre tuyo, limpio, puro?... ¿para qué?... Si hoy la infamia da el sendero y el amor mata en tu nombre, ¡Dios!, lo que has besao... El seguirte es dar ventaja y el amarte sucumbir al mal. No quiero abandonarte, yo, demuestra una vez sola que el traidor no vive impune, ¡Dios! para besarte... Enséñame una flor que haya nacido del esfuerzo de seguirte, ¡Dios! Para no odiar: al mundo que me desprecia, porque no aprendo a robar... Y entonces de rodillas, hecho sangre en los guijarros moriré con vos, ¡feliz, Señor! ;Tormenta
Enrique Maroni (milonga);José Razzano;"Te conquistaron con plata y al trote viniste al centro, algo tenías adentro que te hizo meter la pata; al diablo fue la alpargata y echaste todo a rodar; el afán de figurar fue tu ""hobby"" más sentido y ahora, hasta tenés marido... las cosas que hay que aguantar. M'hjita, me causa gracia tu nuevo estado civil. Si será gil ese gil que creyó en tu aristocracia: Vos sos la Ñata Pancracia, alias ""Nariz Arrugada"", vendedora de empanada, en el barrio de Pompeya. ¿Y tu mama? Bueno, de ella, ¡respetemos la finada! Y ahora tenés voaturé, un tapao petí gris y tenés un infeliz que la chamuya en francés... ¡Qué hacés, tres veces que hacés, Señora Ramos Lavalle! Si cuando lucís tu talle, con ese coso del brazo, ¡no te rompo de un tortazo, por no pegarte en la calle! ¡Señora! ¡Pero hay que ver tu berretín de matrona! Sí te acordás de Ramona, abonale el alquiler... No te hagás la rastacuer desparramando la guita, bajá el copete m'hijita con tu pinta abacanada... ¡Pero si sos más manyada que el tango La Cumparsita! ";Tortazos
Enrique Dizeo;Aníbal Troilo;"No sé, pero a veces quisiera encontrarlo así frente a frente, pa'ver si es capaz de mirarme fijo al interpelarlo ya que es de coraje como lo pintás. ¿O creés que he nacido pa'vivir temblando? Soy mucho más hombre de lo que sabés. Desde hoy, día y noche lo vi'andar buscando y donde se cuadre ya me vas a ver. Total, ¡pa'qué sirvo! Sin ella mi vida, no es vida ni es nada. No sé más qué soy. Total, ¡pa'qué sirvo! Si mi alma está herida, si no hay madrugada que me halle dormido, me encuentro perdido. ¡No ves cómo estoy! Pensé muchas noches en no hacerle caso, dejarlo tranquilo, perdonar su acción, y no hallo remedio; mis horas las paso cerrando los puños con esta obsesión. Habló mi experiencia. Por eso hasta ahora, luché pa'ser fuerte, no lo quise ver. Y todo es inútil, mis ojos la lloran tendré que perderme por esa mujer. ";Total pa'qué sirvo
Julio Navarrine;Rafael Iriarte;"Arrímese al fogón, viejita, aquí a mi lado y ensille un cimarrón para que dure largo; atráquele esa astilla, que el fuego se ha apagado, revuelva aquellas brasas y cebe bien amargo; alcance esa guitarra de cuerdas empolvadas, que tantas veces ella besó su diapasón, y arránquele esa cinta, donde la desalmada bordó, con sus engaños, mi gaucho corazón. ¿Usted lo recuerda, madrecita santa, cómo la quería, cómo yo la amé? ¡Que he dado mi vida, mi daga y mi manta!... Y, sin embargo, madre, la ingrata se fue... Apague esa leña, que mi vista daña... Los ojos me lloran... Yo no sé por qué... Pues quiero olvidarla, ahogándome en caña, y quiero estar cerca, cerquita de usted... No llore, madrecita, no aumente más mi pena y séquese esas lágrimas que me hacen tanto mal Y cébeme otro amargo... Y ponga yerba buena que, mientras, yo a la caña le pongo otro bozal... Después, cuando la noche envuelva los bañados y se oiga, allá, a lo lejos, el toque de oración, inclínese a la Virgen de los Desamparados y a mi pobre guitarra colóquele un crespón... ";Trago amargo
Ivo Pelay;Francisco Canaro;Todo el mundo la dispara, se atropella y no repara que está haciendo un disparate. Todos gritan, aceleran y parece que tuvieran refucilos en el mate. Es un siglo de aspirinas, surmenages y de locos y a los que no están piantados, se ve que les falta poco. Si tenés muchos problemas y buscás la solución, no te aflijas, andá a Vieytes, porque en Vieytes dan razón. Tranquilo y a no agitarse, es peligroso desesperarse. La vida es corta y el pasarla a té de tilo, preocupada y con estrilo me parece que es atroz. Tranquilo, viejo, tranquilo, y al final, primero vos. No te apures Timoteo si te rajan del empleo y te dejan ambulante. Y si tu mujer berrea o tu suegra te pelea, vos mandate un buen calmante. Si la vida está muy cara o te están acogotando, no te apartes de la huella aunque vengas patinando. Suprimí las disparadas y acercate a la razón, sofrenate y acordate que tenés un corazón. ;Tranquilo viejo tranquilo 
Santiago Adamini;Armando Baliotti;Trasnochando, como todo calavera que no ve lo que le espera, que no sabe donde va, rechazaba tus consejos, buen amigo, casi fuimos enemigos por decirme la verdad. Siempre fueron mis mejores compañeros los muchachos milongueros jugadores y algo más. Y con ellos noche a noche derrochaba, entre copas, baile y farra, esta vida que se va. Trasnochando conocí la mujer que vos sabés, no quisiera repetir lo que anoche te conté. Todo, todo lo perdí, sólo de ella conservé esa foto que está allí y que ya no quiero ver. Vos que todo lo sabés, mañana si es que venís, esa foto la guardás, la tirás o la rompés, para mí lo mismo da, vos hacé lo que querés, no la quiero más mirar, ni pensar como ella fue. Siempre llegan, en mis noches de desvelo, tus palabras de consuelo a aliviar mi soledad. Ya no puedo reaccionar, estoy vencido, sólo así busco el olvido en mi eterno trasnochar. Es inútil dar la vuelta en el camino, tendré que seguir el sino de mi vida que se va. Pero hermano, yo te estoy agradecido, ya lo ves, mi buen amigo, no hay remedio pa'mi mal. ;Trasnochando
Homero Expósito;Armando Pontier;Trenzas, seda dulce de tus trenzas, luna en sombra de tu piel y de tu ausencia. Trenzas que me ataron en el yugo de tu amor, yugo casi de blando de tu risa de tu voz... Fina caridad de mi rutina, me encontré tu corazón en una esquina... Trenzas de color de mate amargo que endulzaron mi letargo gris. ¿Adónde fue tu amor de flor silvestre? ¿Adónde, adónde fue después de amarte? Tal vez mi corazón tenía que perderte y así mi soledad se agranda por buscarte. ¡Y estoy llorando así cansado de llorar, trenzado a tu vivir con trenzas de ansiedad... sin ti! ¡Por qué tendré que amar y al fin partir! Pena, vieja angustia de mi pena, frase trunca de tu voz que me encadena... Pena que me llena de palabras sin rencor, llama que te llama con la llama del amor. Trenzas, seda dulce de tus trenzas, luna en sombra de tu piel y de tu ausencia, trenzas, nudo atroz de cuero crudo que me ataron a tu mudo adiós... ;Trenzas
